ID,Code,ISIN,Titre,Allemagne,Australie,Autre Emetteur,Autre Pays,Autre Secteur,Banque Emetteur,Banques Dispo,Canada,Cap/Dis,Chine,Classe d'actifs,Code,CodeBank,Communication,Consommation Cyclique,Consommation Defensive,Couverture de change,Date de fin,Devise,ESG,Energie,Entreprises,Espagne,Etats,Etats2,Finance,France,Grande Bretagne,Immobilier,Industrie,Irlande,Isin,Israel,Italie,Japon,Matières Premières,Nom,Nom Long,Nouvelle Zelande,Pays Emergeants Hors Chine et Japon,Pays-Bas,Positions,Qualité credit,Replication,Santé,Service Publiques,Services de consommation,Suisse,Suède,Symbole,TER,Taille du Fonds,Taux,Technologie,Type d'instr,USA,code
808,SIG_LU0504302604,LU0504302604,Triodos Impact Mixed Fund-Neutral EUR R Distribution,0.05,0,0,0.14,0.03,0,,0,D,0,mixte,,Triodos Sicav I Triodos Impact Mixed Fund - Neutral Euro R dis,0.05,0.08,0.1,Non,,,,0,0,0,0,0,0.03,0.06,0.09,0,0.18,0,LU0504302604,0,0,0.05,0.03,Triodos Impact Mixed Fund-Neutral EUR R Distribution,,0,0.04,0.04,100,,,0.18,0.04,0,0.04,0,S79704990,1.5,519,,0.28,Fonds,0.49,
807,SIG_LU0119196268,LU0119196268,Goldman Sachs Patrimonial Balanced,0.02,0,0,0.14,0.01,0,,0.03,D,0.06,mixte,,Goldman Sachs Funds V Goldman Sachs Patrimonial Balanced P Dis EUR,0.09,0.1,0.06,Non,,,,0,0,0,0,0,0.18,0.02,0.03,0.02,0.11,0,LU0119196268,0,0,0.06,0.04,Goldman Sachs Patrimonial Balanced,,0,0.02,0,100,,,0.09,0.01,0,0.02,0,119196268,1.49,1100,,0.29,Fonds,0.6,
777,AUTO_26,IE00BSJCQV56,SPDR FTSE EPRA Europe ex UK Real Estate UCITS ETF,0.18,0,,0.24,0,,,0,C,0,Real Estate,,SPDR FTSE EPRA EURPEXUK REAL EST ETF,0,0,0,N,,,,0,,0,0,,0,0.21,0,1,0,0,IE00BSJCQV56,0,0,0,0,SPDR FTSE EPRA Europe ex UK Real Estate UCITS ETF,,0,0,0,72,,Complète,0,0,0,0.17,0.2,,0.003,140,,0,ETF,0,
775,AUTO_24,IE00BJ5JPG56,iShares MSCI China UCITS ETF USD (Acc),0,0,,0,0.07,,,0,C,1,Actions,,ISHARES MSCI CHINA ETF USD CAP,0.22,0.27,0.02,N,,,,0.02,,0,0,,0.18,0,0,0.01,0.04,0,IE00BJ5JPG56,0,0,0,0.05,iShares MSCI China UCITS ETF USD (Acc),,0,0,0,560,,Complète,0.04,0,0,0,0,,0.0028,3265,,0.08,ETF,0,
774,AUTO_23,IE00B8FHGS14,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),0,0,,0.18,0.1,,,0.04,C,0,Actions,,ISHARES EDGE MSCI WRLD MIN VOLAT ETF,0.12,0.06,0.1,N,,,,0.03,,0,0,,0.13,0,0,0,0.07,0,IE00B8FHGS14,0,0,0.1,0.01,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),,0,0,0,277,,Complète,0.15,0,0,0.05,0,,0.003,2202,,0.23,ETF,0.63,
771,AUTO_20,LU2314312849,BNP Paribas Easy MSCI China Min TE UCITS ETF EUR Acc,0,0,,0,0.06,,,0,C,1,Actions,,BNPP E MSCI CHINA MIN EUR ETF-C,0.22,0.28,0.03,N,,,,0.01,,0,0,,0.19,0,0,0.01,0.04,0,LU2314312849,0,0,0,0.04,BNP Paribas Easy MSCI China Min TE UCITS ETF EUR Acc,,0,0,0,494,,Complète,0.04,0,0,0,0,,0.0027,78,,0.08,ETF,0,
769,AUTO_18,IE00BM67HQ30,Xtrackers MSCI World Utilities UCITS ETF,0,0,,0.18,0,,,0,C,0,Actions,,X(IE)-MSCI WO.UTILIT.1CDL,0,0,0,N,,,,0,,0.08,0,,0,0,0.07,0,0,0,IE00BM67HQ30,0,0.05,0,0,Xtrackers MSCI World Utilities UCITS ETF,,0,0,0,74,,Complète,0,1,0,0,0,XDWU,0.0025,541,,0,ETF,0.62,
768,AUTO_17,IE00BM67HK7,Xtrackers MSCI World Health Care UCITS ETF,,,,0.16,,,,,C,,Actions,AUTO_17,,,,,N,,,,,,,,,,,0.05,,,,IE00BM67HK77,,,0.03,,Xtrackers MSCI World Health Care UCITS ETF,,,,,118,,Complète,1,,,0.08,,XDWH,0.0025,2997,,,ETF,0.68,AUTO_17
767,AUTO_16,LU1781541252,Amundi Core MSCI Japan UCITS ETF Acc,0,0,,0,0.15,,,0,C,0,Actions,,MUL-AM.MSCI JPN ETF YNA,0,0.17,0.05,N,,,,0,,0,0,,0.17,0,0,0,0.25,0,LU1781541252,0,0,1,0,Amundi Core MSCI Japan UCITS ETF Acc,,0,0,0,180,,Complète,0.07,0,0,0,0,LCUJ,0.0012,4437,,0.14,ETF,0,
766,AUTO_15,IE00B441G979,iShares MSCI World EUR Hedged UCITS ETF) EUR Accu,0,0,,0.21,0.11,,,0.03,C,0,Actions,,MSCI WRD EH,0.09,0.1,0.05,Y,,,,0.03,,0,0,,0.15,0,0.03,0,0.1,0,IE00B441G979,0,0,0.05,0,iShares MSCI World EUR Hedged UCITS ETF) EUR Accu,,0,0,0,1321,,Complète,0.09,0,0,0,0,IWDE,0.0055,4878,,0.28,ETF,0.68,
765,AUTO_14,LU0740858229,JPMorgan Investment Funds Global Income Fund A (acc) EUR  (50% action / 50% Obligations),0.1,0,,0.13,0.04,,,0,C,0,Mixte,,JPMorgan Investment Funds Global Income Fund A (acc) EUR,0.08,0.1,0.05,N,,,,0.06,,0,0,,0.18,0.1,0.04,0,0.11,0,LU0740858229,0,0,0,0,JPMorgan Investment Funds Global Income Fund A (acc) EUR  (50% action / 50% Obligations),,0,0,0,100,,Complète,0.11,0,0,0,0,S79703699,0.014,17000,,0.27,Fonds,0.63,
764,AUTO_13,IE00BG0J4C8,IShares Digital Security UCITS ETF USD Accu,,,,0.24,0.07,,,,C,,Actions,AUTO_13,,,,,N,,,,,,,,,,,,0.03,0.07,,IE00BG0J4C88,,,0.12,,IShares Digital Security UCITS ETF USD Accu,,,,,110,,Complète,,,,,,L0CK,0.004,1281,,0.83,ETF,0.64,AUTO_13
763,AUTO_12,IE00BYXPXL17,iShares Edge MSCI World Minimum Volatility UCITS ETF Hedged EUR Accu,0,0,,0.18,0.12,,,0.04,C,0,Actions,,ISHS VI-E.MSCI WL.M.V.EHA,0.11,0.06,0.1,N,,,,0.03,,0,0,,0.13,0,0,0,0.07,0,IE00BYXPXL17,0,0,0.11,0,iShares Edge MSCI World Minimum Volatility UCITS ETF Hedged EUR Accu,,0,0,0,277,,Complète,0.15,0,0,0.04,0,SXR0,0.0035,158,,0.23,ETF,0.63,
762,AUTO_11,IE00BYZK4552,iShares Automation & Robotics UCITS ETF,0.07,0,,0.2,0.05,,,0,C,0,Actions,,ISHARES AUTOMAT & ROBOTICS UCITS ETF ACC,0,0,0,N,,,,0,,0,0,,0,0,0,0,0.26,0,IE00BYZK4552,0,0,0.16,0,iShares Automation & Robotics UCITS ETF,,0,0,0,137,,Complète,0.03,0,0,0.06,0,RBOT,0.004,3109,,0.66,ETF,0.51,
760,AUTO_9,IE00BMWXKN31,HSBC Hang Seng TECH UCITS ETF HKD,0,0,,0.06,0.04,,,0,C,0.94,Actions,,HSBC HSENG TCH ETF,0.28,0.44,0,N,,,,0,,0,0,,0,0,0,0,0,0,IE00BMWXKN31,0,0,0,0,HSBC Hang Seng TECH UCITS ETF HKD,,0,0,0,30,,Complète,0,0,0,0,0,HSTE,0.005,1482,,0.24,ETF,0,
756,AUTO_5,LU1602144732,Amundi MSCI Japan ESG Broad Transition UCITS ETF EUR Acc,0,0,,0.0040000000000000565,0.01,,,0,C,0,Actions,,AMUNDI MSCI JAP E,0.05,0.16,0.01,N,,,,0,,0,0,,0.22,0,0,0.07,0.2,0,LU1602144732,0,0,0.996,0,Amundi MSCI Japan ESG Broad Transition UCITS ETF EUR Acc,,0,0,0,167,,Complète,0.12,0,0,0,0,CJ1,0.0015,330,,0.16,ETF,0,
754,AUTO_3,FR0010527275,Amundi MSCI Water UCITS ETF Dist,0,0,,0.23,0.13,,,0,D,0,Actions,,AMUNDI ETF W WATER,0,0,0,N,,,,0,,0,0,,0,0.05,0.14,0,0.85,0,FR0010527275,0,0,0.06,0,Amundi MSCI Water UCITS ETF Dist,,0,0,0,47,,Complète,0,0,0,0,0,WAT,0.006,1561,,0.02,ETF,0.52,
753,AUTO_2,LU0908500753,Amundi Core Stoxx Europe 600 UCITS ETF Acc,0.14,0,,0.38,0.24,,,0,C,0,Actions,,AMUNDI COR STOX600,0,0.08,0.07,N,,,,0,,0,0,,0.24,0.14,0.2,0,0.18,0,LU0908500753,0,0,0,0,Amundi Core Stoxx Europe 600 UCITS ETF Acc,,0,0,0,612,,Complète,0.11,0,0,0.14,0,MEUD,0.0007,16513,,0.08,ETF,0,
